-1.5,0.0,2.6,318.0,297.0,109.0
-2.0,0.0,2.1,73.0,44.0,67.0
-2.7,0.0,0.6,359.0,55.0,162.0
-2.0,0.0,-0.7,18.0,155.0,278.0
-1.2,0.0,-0.9,36.0,51.0,81.0
0.7,0.0,-1.6,334.0,292.0,114.0
2.7,0.0,-1.4,335.0,41.0,204.0
1.9,0.0,1.2,346.0,85.0,352.0
0.1,0.0,0.6,72.0,350.0,282.0
-1.3,0.7,-1.0,332.0,80.0,171.0
-2.6,0.0,-1.4,26.0,77.0,350.0
-3.4,0.0,-2.6,333.0,278.0,227.0
-0.7,0.0,-3.2,332.0,51.0,304.0
0.7,0.0,-2.9,66.0,43.0,356.0
2.6,0.0,-3.4,271.0,230.0,118.0
3.4,0.0,-2.9,40.0,288.0,104.0
3.3,0.6,-2.5,305.0,276.0,96.0
3.8,0.0,0.8,352.0,218.0,220.0
3.2,0.0,2.9,13.0,77.0,314.0
2.8,0.5,2.9,289.0,148.0,212.0
1.5,0.0,3.1,63.0,268.0,63.0
-0.5,0.0,3.0,50.0,132.0,333.0
-1.2,0.6,2.7,317.0,153.0,271.0
-0.1,0.0,4.6,355.0,52.0,328.0
1.9,0.0,4.2,21.0,15.0,176.0
1.9,0.3,3.1,347.0,313.0,226.0
1.6,0.5,2.6,295.0,350.0,171.0
1.5,0.5,2.0,351.0,337.0,71.0
1.9,0.5,1.1,354.0,258.0,275.0
1.5,0.6,0.5,353.0,312.0,290.0
0.2,0.5,0.5,357.0,351.0,284.0
-0.5,0.6,0.7,281.0,175.0,91.0
-0.2,1.1,1.0,338.0,130.0,293.0
0.3,1.3,0.8,17.0,33.0,219.0
0.4,2.0,0.8,23.0,339.0,16.0
-0.8,0.9,2.4,56.0,320.0,238.0
-1.7,0.5,2.7,281.0,294.0,65.0
-3.0,0.0,2.1,336.0,38.0,192.0
-3.2,0.0,0.4,14.0,1.0,15.0
-2.6,0.6,-1.5,289.0,83.0,76.0
-3.1,0.6,-2.7,316.0,311.0,56.0
-2.1,0.0,-2.3,35.0,193.0,46.0
-1.3,0.0,-2.2,70.0,127.0,84.0
-0.7,0.0,-1.5,60.0,2.0,308.0
-0.1,0.0,-0.8,29.0,341.0,179.0
0.6,0.1,0.1,22.0,32.0,293.0
1.4,0.0,-0.1,18.0,334.0,174.0
1.6,0.0,-2.1,0.0,220.0,20.0
0.5,0.4,-3.2,305.0,149.0,5.0
1.6,0.0,-3.1,26.0,28.0,25.0
2.6,0.7,-2.5,30.0,97.0,176.0
2.9,0.0,0.1,12.0,15.0,110.0
2.5,0.3,0.5,49.0,264.0,227.0
0.9,0.6,-1.5,307.0,314.0,45.0
0.2,0.2,-1.1,45.0,318.0,222.0
-0.7,0.9,0.1,305.0,217.0,358.0
0.7,1.7,0.2,320.0,332.0,340.0
2.6,0.1,2.5,81.0,168.0,202.0
3.1,0.5,0.4,331.0,134.0,136.0
1.7,0.0,-0.7,284.0,136.0,13.0
-0.4,0.5,-1.2,327.0,40.0,76.0
-2.4,0.7,-1.9,313.0,68.0,115.0
-1.8,0.3,-2.6,310.0,126.0,294.0
0.1,0.4,-3.5,21.0,182.0,38.0
1.6,0.2,-3.6,284.0,341.0,119.0
2.9,0.3,-3.8,339.0,208.0,126.0
3.2,0.7,-3.9,302.0,94.0,49.0
1.4,0.8,-2.0,87.0,213.0,0.0
-1.9,0.5,-0.8,335.0,36.0,146.0
-2.7,1.1,-1.1,312.0,206.0,154.0
-2.8,0.6,1.7,89.0,41.0,136.0
-3.3,1.1,1.4,48.0,151.0,221.0
